Kabupaten Kota,Tahun,Sum of IPM,Sum of Presentasi_penduduk_miskin,Pengeluaran_perkapita,Sum of Rata_rata_lama_sekolah,Kategori_IPM
Asahan,2019,69.92,9.68,10983,8.49,Sedang
Asahan,2020,70.29,9.04,10890,8.79,Tinggi
Asahan,2021,70.49,9.35,11030,8.8,Tinggi
Asahan,2022,71.13,8.64,11515,8.82,Tinggi
Asahan,2023,71.56,8.21,11795,8.83,Tinggi
Batu Bara,2019,68.35,12.14,10575,8.02,Sedang
Batu Bara,2020,68.36,11.88,10410,8.06,Sedang
Batu Bara,2021,68.58,12.38,10539,8.07,Sedang
Batu Bara,2022,69.51,11.53,10755,8.26,Sedang
Batu Bara,2023,70.31,11.38,10933,8.5,Tinggi
Binjai,2019,75.89,5.66,11260,10.77,Tinggi
Binjai,2020,75.89,5.71,10997,10.93,Tinggi
Binjai,2021,76.01,5.81,11063,10.94,Tinggi
Binjai,2022,76.95,5.1,11358,11.18,Tinggi
Binjai,2023,77.6,4.79,11567,11.19,Tinggi
Dairi,2019,71.42,7.7,10602,9.34,Tinggi
Dairi,2020,71.57,8.04,10350,9.58,Tinggi
Dairi,2021,71.84,8.31,10504,9.59,Tinggi
Dairi,2022,72.56,7.88,10740,9.72,Tinggi
Dairi,2023,73.27,7.47,10969,9.88,Tinggi
Deli Serdang,2019,75.43,3.89,12317,10.08,Tinggi
Deli Serdang,2020,75.44,3.88,12225,10.09,Tinggi
Deli Serdang,2021,75.53,4.01,12291,10.1,Tinggi
Deli Serdang,2022,76.19,3.62,12657,10.27,Tinggi
Deli Serdang,2023,76.52,3.44,12890,10.28,Tinggi
Gunungsitoli,2019,69.3,16.23,8058,8.58,Sedang
Gunungsitoli,2020,69.31,16.41,7980,8.61,Sedang
Gunungsitoli,2021,69.61,16.45,8134,8.62,Sedang
Gunungsitoli,2022,70.23,14.81,8434,8.64,Tinggi
Gunungsitoli,2023,70.68,14.78,8635,8.65,Tinggi
Humbang Hasundutan,2019,68.83,8.75,7902,9.53,Sedang
Humbang Hasundutan,2020,68.87,9.36,7850,9.54,Sedang
Humbang Hasundutan,2021,69.41,9.65,8016,9.71,Sedang
Humbang Hasundutan,2022,70.32,8.86,8250,10,Tinggi
Humbang Hasundutan,2023,70.75,8.69,8476,10.01,Tinggi
Karo,2019,74.25,8.23,12474,9.62,Tinggi
Karo,2020,74.43,8.7,12349,9.79,Tinggi
Karo,2021,74.83,8.79,12412,10,Tinggi
Karo,2022,75.36,8.17,12554,10.02,Tinggi
Karo,2023,75.98,7.98,12779,10.03,Tinggi
Labuanbatu Utara,2019,71.43,9.57,11957,8.36,Tinggi
Labuanbatu Utara,2020,71.61,9.53,11779,8.4,Tinggi
Labuanbatu Utara,2021,71.87,10.02,11840,8.41,Tinggi
Labuanbatu Utara,2022,72.77,9.09,12258,8.64,Tinggi
Labuanbatu Utara,2023,73.63,9.08,12429,8.87,Tinggi
Labuhan Batu,2019,71.94,8.44,11193,9.23,Tinggi
Labuhan Batu,2020,72.01,8.44,11150,9.24,Tinggi
Labuhan Batu,2021,72.09,8.74,11212,9.25,Tinggi
